filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0000.jpg,-0.884202,-1.2502578,-0.22833823,-0.7875994,-0.22833823,-0.884202,0.4023466,-0.75664487931385,0.8173429
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0001.jpg,-1.4108126,-1.3227006,-0.7114395,-1.1483177,-0.7114395,-1.3227006,0.0012959242,-1.124097526588017,0.29917687
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0002.jpg,-1.7552211,-1.0521402,-1.3864137,-1.397925,-1.0521402,-1.3864137,-0.2587335,-1.3734582370129862,-0.022264898
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0003.jpg,-1.9050456,-1.1302245,-1.5433506,-1.526207,-1.1302245,-1.5433506,-0.3776934,-1.494577803491214,-0.1689241
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0004.jpg,-1.6750914,-0.6140412,-1.4024104,-1.2305144,-0.6140412,-1.4024104,-0.025878072,-1.1778474419698717,0.24681532
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0005.jpg,-1.4791853,-0.19391659,-1.5545458,-1.0758826,-0.19391659,-1.4791853,0.2333593,-0.99182816450303,0.5378531
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0006.jpg,-1.4743464,-0.26317134,-1.5266272,-1.0880483,-0.26317134,-1.4743464,0.19458416,-1.0127008170239633,0.4981806
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0007.jpg,-1.6025589,-0.49813268,-0.805126,-0.9686058,-0.49813268,-0.805126,0.22799292,-0.9205559848973071,0.58490527
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0008.jpg,-1.9607172,-0.80594873,-0.93308777,-1.2332512,-0.80594873,-0.93308777,-0.01942885,-1.1628624876683245,0.26191366
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0009.jpg,-2.1544333,-0.927323,-0.9681881,-1.3499814,-0.927323,-0.9681881,-0.115017235,-1.2605695813657967,0.13883626
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0010.jpg,-1.9005418,-0.45998928,-1.2363728,-1.1989679,-0.45998928,-1.2363728,0.06879237,-1.1127001486072152,0.3504867
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0011.jpg,-1.7413702,-0.46667084,-1.133245,-1.113762,-0.46667084,-1.133245,0.117208034,-1.0492521037981937,0.42396736
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0012.jpg,-1.013414,-1.1726087,0.40022478,-0.595266,0.40022478,-1.013414,0.77228,-0.544480586992293,1.2378678
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0013.jpg,-1.8497568,-1.235101,-0.7785294,-1.2877958,-0.7785294,-1.235101,-0.09743488,-1.2351802152154736,0.16517538
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0014.jpg,-1.6264482,-1.0414736,-0.5303032,-1.066075,-0.5303032,-1.0414736,0.12926131,-1.0190637262461735,0.45209077
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0015.jpg,-1.4723225,-1.7150494,-0.49650738,-1.2279598,-0.49650738,-1.4723225,0.01783964,-1.1573240710078756,0.28784865
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0016.jpg,-1.7925243,-1.5332539,-0.42102775,-1.2489353,-0.42102775,-1.5332539,0.03801173,-1.1589901864659027,0.29955542
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0017.jpg,-1.393964,-1.2594031,-0.41476855,-1.0227119,-0.41476855,-1.2594031,0.1759735,-0.9817710893839404,0.50721097
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0018.jpg,-1.4439411,-2.1331239,-0.6639378,-1.4136677,-0.6639378,-1.4439411,-0.14008707,-1.3114953287225821,0.0899483
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0019.jpg,-1.4093134,-1.7413281,-0.75191957,-1.3008536,-0.75191957,-1.4093134,-0.115344584,-1.2542616370924273,0.14141113
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0020.jpg,-1.1977872,-1.3925086,-0.6276922,-1.0726627,-0.6276922,-1.1977872,0.08078247,-1.0478566012373083,0.4007457
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0021.jpg,-1.3299965,-1.2562702,-0.7815454,-1.122604,-0.7815454,-1.2562702,0.0068666935,-1.1079433558206144,0.3133645
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0022.jpg,-1.4148622,-1.0705657,-0.99873644,-1.161388,-0.99873644,-1.0705657,-0.046967685,-1.152764077995718,0.24986649
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0023.jpg,-1.5933281,-1.5362053,-0.8508981,-1.3268105,-0.8508981,-1.5362053,-0.16785616,-1.2945555034939784,0.08303523
