filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0000.jpg,0.3992046,0.05679354,0.7142406,0.3900796,0.7142406,0.3992046,1.5242527,0.38333076772225594,2.6809564
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0001.jpg,0.24461114,-0.06899229,0.82417953,0.33326614,0.82417953,0.24461114,1.5019568,0.32103747433504903,2.5982392
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0002.jpg,0.3293723,0.29530272,0.43290284,0.35252595,0.43290284,0.3293723,1.452867,0.35221947840159484,2.5830078
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0003.jpg,0.3364458,0.24580237,0.38315013,0.32179943,0.38315013,0.3364458,1.4220253,0.3215455220028667,2.5249803
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0004.jpg,0.3142352,1.3210886,0.11878455,0.5847028,1.3210886,0.3142352,1.8314347,0.5421577580284451,3.1317618
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0005.jpg,0.16764891,1.269243,0.29474854,0.57721347,1.269243,0.29474854,1.805575,0.5402126909536553,3.1048877
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0006.jpg,0.39110363,1.475514,0.3317401,0.73278594,1.475514,0.39110363,1.9803511,0.6821046366541172,3.4299743
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0007.jpg,0.2695732,0.75249517,0.602553,0.54154044,0.75249517,0.602553,1.6598403,0.5364384132315266,2.9643884
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0008.jpg,0.46428394,1.2659096,0.88571537,0.87196964,1.2659096,0.88571537,2.0231237,0.8505965939711684,3.6722302
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0009.jpg,0.68078244,0.7848673,1.0160221,0.82722396,1.0160221,0.7848673,1.9358199,0.8233460789287947,3.5476854
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0010.jpg,0.9973961,1.3451123,1.1997647,1.1807576,1.3451123,1.1997647,2.2894154,1.175399631338962,4.338113
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0011.jpg,0.6136478,1.2843609,1.1481442,1.0153843,1.2843609,1.1481442,2.1531396,0.996544180308883,3.9802227
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0012.jpg,0.06748396,0.6127788,1.5374562,0.73923963,1.5374562,0.6127788,2.0239427,0.6759963156798972,3.4748595
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0013.jpg,-0.11269349,0.9115279,0.82144445,0.54009295,0.9115279,0.82144445,1.7325981,0.5175328373758464,3.0263426
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0014.jpg,0.08722556,1.471976,0.6752341,0.74481183,1.471976,0.6752341,2.003299,0.6898855911057145,3.4724069
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0015.jpg,-0.080272555,1.2599639,0.54777396,0.57582176,1.2599639,0.54777396,1.8209231,0.5359101595868535,3.1245627
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0016.jpg,0.39786577,1.6313145,0.76685965,0.93201333,1.6313145,0.76685965,2.1693082,0.8750166796987422,3.8490372
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0017.jpg,0.7104422,1.7241001,1.1588389,1.1977936,1.7241001,1.1588389,2.3821902,1.1531853951723512,4.418194
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0018.jpg,0.6976036,1.4154696,0.98081696,1.0312967,1.4154696,0.98081696,2.1740682,1.0108401719021702,4.015838
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0019.jpg,0.42270756,1.0058494,0.97766435,0.8020738,1.0058494,0.97766435,1.9342072,0.7892062385494216,3.5117886
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0020.jpg,1.0082852,1.3402307,1.1980155,1.1821772,1.3402307,1.1980155,2.289941,1.1772956751403705,4.3409004
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0021.jpg,0.9643364,1.0679713,1.2944161,1.1089078,1.2944161,1.0679713,2.2171779,1.1041203004011313,4.172037
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0022.jpg,0.8711618,0.94379723,1.0524586,0.95580596,1.0524586,0.94379723,2.0572076,0.9545700385357367,3.8234887
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0023.jpg,0.4029039,0.6267109,1.0297551,0.6864567,1.0297551,0.6267109,1.8193727,0.675195860519882,3.2672691
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0024.jpg,0.5415486,0.49323496,1.1316705,0.72215134,1.1316705,0.5415486,1.8651809,0.7069607696899953,3.3466046
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0025.jpg,0.27870667,0.41224495,0.7992761,0.49674258,0.7992761,0.41224495,1.6204875,0.49050300113157685,2.8784459
/home/christian.moiola/CLIP-OF_SyntheticVideoDetector/temp_frames/frame_0026.jpg,1.1904517,1.218178,0.73870134,1.0491104,1.218178,1.1904517,2.170516,1.037800730564775,4.045089
